data_id,country,level,nation_code,crop,qualifier,crop_name_in_original_data,plant_start,plant_start_date,plant_end,plant_end_date,plant_median,plant_range,harvest_start,harvest_start_date,harvest_end,harvest_end_date,harvest_median,harvest_range,full_crop_name,location_code,tot_days,lat_avg,lon_avg,harvested_area,tmin_day_avg,temp_average,precip_average,temp_min,precip_min,temp_max,precip_max,temp_min_month,precip_min_month,temp_max_month,precip_max_month,temp_at_planting,precip_at_planting,sunfrac_at_planting,daylength_at_planting,dsw_at_planting,precip_over_pet_min,precip_over_pet_min_day,precip_over_pet_max,precip_over_pet_max_day,precip_over_pet_at_planting,apr_to_sept_temp_anomaly,apr_to_sept_precip_frac,gdd_base_0_between_plant_and_harvest,gdd_base_4_between_plant_and_harvest,gdd_base_5_between_plant_and_harvest,gdd_base_8_between_plant_and_harvest,gdd_base_10_between_plant_and_harvest,gdd_base_0,gdd_base_4,gdd_base_5,gdd_base_8,gdd_base_10,gdd_base_0_from_plant_until_cold,gdd_base_4_from_plant_until_cold,gdd_base_5_from_plant_until_cold,gdd_base_8_from_plant_until_cold,gdd_base_10_from_plant_until_cold,ndays_growing_season_below_0,ndays_growing_season_below_5,ndays_growing_season_below_10,ndays_growing_season_below_12,ndays_growing_season_below_15,ndays_growing_season_below_17,ndays_below_0,ndays_below_5,ndays_below_10,ndays_below_12,ndays_below_15,ndays_below_17,lgp,lgp_t,lgp_p,lgp_tmin5_tmax100,lgp_t_tmin5_tmax100,lgp_p_tmin5_tmax100,temp_growing_season,precip_growing_season,ndays_since_snowfrac_0_5,ndays_since_snowfrac_0_1,ndays_since_snowfrac_0_05,ndays_since_snowfrac_0,climate_category,misclassified,climate_category_string
31,Armenia,N,61,Wheat,Winter,Winter Wheat,213,8/1,304,10/31,258.5,92,121,5/1,212,7/31,166.5,92,Wheat.Winter,61,273,40.1867265584074,44.8964206609181,1154.0220465144,-27.3802959561066,7.43351244947371,43.1510452110322,-7.12734450959755,24.1789842525531,20.7306239908455,83.7874568597963,1,1,7,5,15.7768077215849,29.7413826157747,0.739202386964268,13.3655804164908,219.925000188701,0.209581020790451,227,1.59566079335967,363,0.251052089770711,8.04741722479726,1.24072595565436,1442.25539835162,843.051686779527,716.194337614824,390.806601214735,225.754946737049,3192.01124226271,2224.79891905718,2005.94795609633,1404.56461998447,1055.54158914613,567.715018272132,311.652770708609,259.820968407625,133.612402632187,73.580608131108,104,151,202,223,259,273,105,151,202,224,259,285,98,223,240,89,214,240,3.61629067587844,43.5111180607757,152,122,113,71,1,TRUE,1X
45,Belarus,N,16,Rye,Winter,Winter Rye,227,8/15,263,9/20,245,37,187,7/6,227,8/15,207,41,Rye.Winter,16,327,53.6154615581711,27.9971183369228,7205.73422514974,-30.0483976542035,6.10698751788047,51.9808246857754,-7.06084634184459,30.3649359928391,17.6155809924793,82.0113579649181,1,2,7,7,14.1927075522398,62.1173855125468,0.468026899712276,14.8534265182822,161.505354672585,0.477068999065207,135,14.2439170339153,354,0.756255312699213,7.71142298435473,1.22120866223143,2132.45484569732,1373.99142665176,1207.78755223639,765.80011584807,521.153262564472,2754.09791081801,1843.63449177245,1639.43061735707,1083.44318096876,762.79632768516,582.090314446394,306.764625483736,251.391654741437,117.466724525442,55.6514332384906,118,165,215,236,272,301,118,165,215,236,277,325,132,150,347,181,199,347,4.98212320575053,50.003372619857,161,146,136,122,1,TRUE,1X
175,North Korea,N,52,Wheat,Winter,Wheat,274,10/1,314,11/10,294,41,152,6/1,181,6/30,166.5,30,Wheat.Winter,52,237.5,40.4917152651149,128.058102002256,221.416882978069,-28.7845663758849,5.6182822098725,82.1112449988782,-11.1200597633124,17.8841628607834,20.2078393175771,228.947155785191,1,1,8,8,6.4544526926077,45.294781590482,0.578386450541435,11.8276532673029,136.037686922392,0.579253264302163,128,1.85872993352441,227,0.846596982173582,9.2086677115565,1.64471453956854,880.955650647752,502.216905311201,426.361907561762,241.701671229818,146.083633312376,2946.74729589151,2060.00855055496,1857.15355280552,1295.94902622586,967.32465205174,77.8256791493866,11.2505325263008,3.9267258990976,0,0,128,166,195,206,228,238,128,166,210,230,267,293,207,207,365,199,199,365,0.0450818216795916,42.4626821402519,218,197,194,-185,1,TRUE,1X
176,North Korea,N,52,Barley,Winter,Barley,305,11/1,334,11/30,319.5,30,162,6/11,202,7/21,182,41,Barley.Winter,52,227.5,40.4900975283926,128.052657012239,151.911908413576,-28.7766276479708,5.62729015360604,82.1640738026998,-11.1084222482225,17.8895217055807,20.2153098676558,229.177089338537,1,1,8,8,-0.353048027081921,37.1671834385198,0.547451765445521,10.8986354778732,100.199761026626,0.579197609723258,128,1.86009087066494,227,1.30927676175699,9.20674140985058,1.64474320848778,1071.0993095503,696.818575675247,612.746898337553,385.37850187732,258.716467016046,2948.57570621067,2061.5444520918,1858.62697899401,1297.2204092125,968.447170196234,0,0,0,0,0,127,146,170,180,202,218,128,166,210,229,267,293,154,154,365,199,199,365,0.888533538536848,49.7209816186065,243,-143,-147,-160,1,TRUE,1X
218,Estonia,N,12,Wheat,Winter,Winter Wheat,234,8/22,284,10/11,259,51,192,7/11,234,8/22,213,43,Wheat.Winter,12,319,58.6267181586597,25.8090836448893,652.436683386532,-32.9844607541585,4.94695632654144,52.4421644386658,-6.6632135550724,28.8035395657658,16.4711938267295,79.5386694382434,1,2,7,8,10.8320208130266,72.0593749785992,0.355277024434471,14.1259326626609,108.419260590193,0.400431505944436,160,74.7637693858985,355,1.50428796687179,6.99146558143508,1.11913520054572,1732.80318326395,1052.44807229061,908.569269753859,540.217840286623,349.564658837853,2376.87597821122,1512.52086723787,1322.64206470112,816.290635233887,533.637453785117,358.168100517611,145.878624582796,106.998704493297,25.3371288419789,2.1817671984277,127,180,235,253,278,319,127,180,235,261,306,365,129,195,299,119,185,299,3.70814863996373,49.1525904877334,170,148,141,136,1,TRUE,1X
239,Georgia,N,50,Wheat,Winter,Winter Wheat,227,8/15,304,10/31,265.5,78,182,7/1,227,8/15,204.5,46,Wheat.Winter,50,304,41.9034359425944,43.8635445034421,1211.78690386198,-18.5841224485651,9.96721700331026,80.423987321697,-1.82428959319466,61.6175423239296,21.0324104030642,116.18540038201,1,2,7,6,15.4834532988952,78.4820882048678,0.578883514418083,13.0830259467833,176.153139087743,0.536055987074002,197,4.28001067415654,351,0.837051412300938,6.80874388339591,1.12187729234806,2544.56495084923,1671.90447621893,1484.48347766558,986.842989151354,708.31819803386,3716.99477952136,2600.39294145364,2351.95716741344,1671.27304644024,1270.783714442,665.912978844348,358.844890288163,297.491018159956,148.929207863179,78.8546180090242,56,122,176,201,238,258,57,122,175,200,238,266,254,254,365,243,243,365,8.1758912927197,80.3616894087323,154,78,-319,-365,1,TRUE,1X
322,Japan,N,45,Wheat,Winter,Wheat,263,9/20,334,11/30,298.5,72,152,6/1,202,7/21,177,51,Wheat.Winter,45,243.5,39.574569447558,139.588486124156,1910.1877540317,-20.5358983483359,8.75608429893222,116.362304845127,-3.58398740291809,63.263951610264,21.6180670359855,174.703053856628,1,2,8,7,9.51092982669358,108.647391423672,0.444024650299895,11.6778919122949,116.113901223131,1.07014087267834,135,3.33211028313223,1,2.13512246554571,6.9578949189372,1.30440721981117,1268.9840570369,725.038666180731,614.627897160097,343.780496395951,216.029898049516,3417.79883572402,2389.86871533906,2158.47033871962,1524.6099613908,1155.44770857098,232.95546792523,76.8001567170155,51.2451619322566,5.7302937583511,0,86,139,189,201,225,240,86,139,191,213,252,278,236,236,365,226,226,365,4.38549804280956,95.1551133341415,197,169,160,140,1,TRUE,1X
343,Kyrgyzstan,N,51,Wheat,Winter,Winter Wheat,229,8/17,284,10/11,256.5,56,152,6/1,229,8/17,190.5,78,Wheat.Winter,51,299,41.5132071661724,74.1037236675833,4969.11459391212,-36.1336681546799,3.00811733483261,37.5517357346278,-12.7867504015921,16.8565928804581,16.4373612988954,63.8687989468224,1,9,7,5,10.9611809110297,17.2821434537395,0.736514304086975,13.4956772673483,219.222338398242,0.165509499047628,258,2.66675388968495,357,0.166217143514412,8.83815827726445,1.08205938234715,1273.91263131598,720.838738877009,602.288497173067,308.208122270842,170.36050498199,2250.57559052107,1433.54743689835,1248.9801980139,756.893010712841,487.054620981516,275.838951979896,113.775330276574,83.7783296269602,21.2656666590295,2.47064418077001,145,184,242,262,289,299,145,185,242,268,315,365,44,188,221,37,181,221,0.486756281689783,39.9756108138099,85,-365,-365,-365,1,TRUE,1X
349,Latvia,N,13,Wheat,Winter,Winter Wheat,232,8/20,282,10/9,257,51,191,7/10,232,8/20,211.5,42,Wheat.Winter,13,319.5,56.7747171986231,24.7874075035017,1574.80537648876,-32.0597747914835,5.68474753748006,54.0337878321763,-5.76400857552843,28.0645440451201,16.5875595022447,77.628160198565,1,2,7,7,11.8067860528139,70.5547507573924,0.406287489144105,14.170199250375,123.50937411314,0.438916367316816,151,33.3741212388615,354,1.24071284379592,6.86479282396971,1.14188744925637,1871.89051665592,1149.82910534255,995.852510761777,597.437005369835,386.892149140504,2531.01068962102,1628.94927830764,1429.97268372688,896.557178334934,596.012322105604,426.839966933198,190.28860790036,145.617204461236,46.053820126472,10.4588474071862,117,171,226,249,274,320,117,171,226,250,297,365,150,204,311,139,193,311,4.48820782837233,51.2788931952682,171,150,139,134,1,TRUE,1X
350,Latvia,N,13,Rye,Winter,Winter Rye,227,8/15,264,9/21,245.5,38,166,6/15,227,8/15,196.5,62,Rye.Winter,13,316,56.7747171987179,24.7874075004049,520.74528839477,-32.0597747849162,5.68474753817275,54.0337878342372,-5.7640085726851,28.0645440450682,16.5875595017692,77.6281602059274,1,2,7,7,13.4218936711806,72.9416691299668,0.440398866550308,15.126325111257101,148.59005609495,0.438916367252445,151,33.3741212388236,354,0.999667563333899,6.86479282276743,1.1418874491843,1762.29322900399,1056.26998375475,906.247075030688,519.85279699264,317.345856902178,2531.010689619,1628.94927826526,1429.97268367917,896.557178279102,596.012322047983,571.912123273082,289.373143582502,233.173514527908,99.1078827957392,40.545257703227,117,172,226,251,285,316,117,171,226,250,297,365,90,139,311,139,193,311,4.1982844946291,50.742865444343,159,139,127,122,1,TRUE,1X
